latitude,longitude,primary_road,secondary_road,description,legs,state
42.88344603,-97.39197449,DOUGLAS AVE,15TH ST W,On DOUGLAS AVE at its intersection with 15TH ST W,4,SD
45.48088719,-98.47460712,15TH AVE NE,DAKOTA ST N,On 15TH AVE NE at its intersection with DAKOTA ST N,4,SD
44.01375851,-97.52859077,WASHINGTON AVE W,MINNIE ST N,On WASHINGTON AVE W at its intersection with MINNIE ST N,4,SD
45.46210229,-98.48518593,3RD AVE SE,WASHINGTON ST S,On 3RD AVE SE at its intersection with WASHINGTON ST S,4,SD
44.00037267,-97.11985195,UNION AVE S,4TH ST SW,On UNION AVE S at its intersection with 4TH ST SW,4,SD
42.77251973,-96.90873874,CRAWFORD RD,CRESTVIEW DR,On CRAWFORD RD at its intersection with CRESTVIEW DR,4,SD
42.77928806,-96.90517321,CRAWFORD RD,MAIN ST,On CRAWFORD RD at its intersection with MAIN ST,4,SD
45.46109216,-98.48950012,1ST ST S,4TH AVE SW,On 1ST ST S at its intersection with 4TH AVE SW,4,SD
44.35618791,-98.22240335,9TH ST SW,COLORADO AVE,On 9TH ST SW at its intersection with COLORADO AVE,4,SD
42.6013401,-96.56116391,3RD ST,DIVISION ST,On 3RD ST at its intersection with DIVISION ST,4,SD
44.41448798,-103.51271047,MAIN ST,HARLEY-DAVIDSON WAY,On MAIN ST at its intersection with HARLEY-DAVIDSON WAY,4,SD
42.52737478,-96.48317106,OLD HWY 105,MAIN ST,On OLD HWY 105 at its intersection with MAIN ST,4,SD
45.46213141,-98.4792974,3RD AVE SE,STATE ST S,On 3RD AVE SE at its intersection with STATE ST S,4,SD
44.34534461,-98.22075497,18TH ST SW,MCCLELLAN DR,On 18TH ST SW at its intersection with MCCLELLAN DR,4,SD
45.7944018,-97.750516,423 AVE,5TH ST,On 423 AVE at its intersection with 5TH ST,4,SD
44.08220801,-103.29230694,44TH ST,MAIN ST W,On 44TH ST at its intersection with MAIN ST W,4,SD
45.45466854,-98.47465502,10TH AVE SE,DAKOTA ST S,On 10TH AVE SE at its intersection with DAKOTA ST S,4,SD
44.13174225,-103.07087903,ELLSWORTH RD N,LIBERTY BLVD,On ELLSWORTH RD N at its intersection with LIBERTY BLVD,4,SD
43.17057847,-96.98312892,291 ST,461 AVE,On 291 ST at its intersection with 461 AVE,4,SD
42.99590253,-97.31854897,303 ST,444 AVE,On 303 ST at its intersection with 444 AVE,4,SD
43.40275289,-96.98436557,275 ST,461 AVE,On 275 ST at its intersection with 461 AVE,4,SD
43.44608364,-96.98429909,272 ST,461 AVE,On 272 ST at its intersection with 461 AVE,4,SD
44.05288323,-103.09088987,LONG VIEW RD,RADAR HILL RD,On LONG VIEW RD at its intersection with RADAR HILL RD,4,SD
44.06737596,-103.13122898,TWILIGHT DR,RESERVOIR RD,On TWILIGHT DR at its intersection with RESERVOIR RD,4,SD
43.9762908,-103.17527672,AMBUSH RANCH RD,BLACK GAP RD,On AMBUSH RANCH RD at its intersection with BLACK GAP RD,4,SD
44.06198577,-103.09387111,PALAMINO LN,QUARTER HORSE DR,On PALAMINO LN at its intersection with QUARTER HORSE DR,4,SD
44.06078591,-103.09387506,MUSTANG LN,PALAMINO LN,On MUSTANG LN at its intersection with PALAMINO LN,4,SD
43.58748916,-96.79104882,MARION RD N,BENSON RD W,On MARION RD N at its intersection with BENSON RD W,4,SD
44.22942134,-103.23167364,ELK CREEK RD,HAINES AVE N,On ELK CREEK RD at its intersection with HAINES AVE N,4,SD
42.95207697,-97.65500236,306 ST,427 AVE,On 306 ST at its intersection with 427 AVE,4,SD
44.6591145,-97.28902604,188 ST,446 AVE,On 188 ST at its intersection with 446 AVE,4,SD
44.1523857,-96.78870397,223 ST,471 AVE,On 223 ST at its intersection with 471 AVE,4,SD
45.01151643,-101.24639077,TIOSPAYE LP,TITUMWAN LP,On TIOSPAYE LP at its intersection with TITUMWAN LP,4,SD
43.38844367,-96.82621523,276 ST,469 AVE,On 276 ST at its intersection with 469 AVE,4,SD
43.46102253,-96.84622224,271 ST,468 AVE,On 271 ST at its intersection with 468 AVE,4,SD
43.38793912,-96.58902386,276 ST,481 AVE,On 276 ST at its intersection with 481 AVE,4,SD
45.00950136,-101.24647206,OWOHE NUPA DR,TITUMWAN LP,On OWOHE NUPA DR at its intersection with TITUMWAN LP,4,SD
45.00939114,-101.24179484,OWOHE NUPA DR,TIOSPAYE LP,On OWOHE NUPA DR at its intersection with TIOSPAYE LP,4,SD
43.44646986,-96.80639949,272 ST,470 AVE,On 272 ST at its intersection with 470 AVE,4,SD
43.44645476,-96.82628979,HERITAGE PKWY,FIRST ST,On HERITAGE PKWY at its intersection with FIRST ST,4,SD
43.44640745,-96.78721044,272 ST,471 AVE,On 272 ST at its intersection with 471 AVE,4,SD
43.46058652,-96.70764663,475 AVE,271 ST,On 475 AVE at its intersection with 271 ST,4,SD
43.12722654,-96.76649536,294 ST,472 AVE,On 294 ST at its intersection with 472 AVE,4,SD
43.19680408,-98.06999083,289 ST,406 AVE,On 289 ST at its intersection with 406 AVE,4,SD
43.38820334,-96.76704265,276 ST,472 AVE,On 276 ST at its intersection with 472 AVE,4,SD
45.20838465,-96.61935874,150 ST,479 AVE,On 150 ST at its intersection with 479 AVE,4,SD
44.91912831,-97.08640285,14 AVE NE,19 ST NE,On 14 AVE NE at its intersection with 19 ST NE,4,SD
42.93793085,-96.58759416,307 ST,481 AVE,On 307 ST at its intersection with 481 AVE,4,SD
44.49947133,-97.02766982,199 ST,459 AVE,On 199 ST at its intersection with 459 AVE,4,SD
43.80494369,-98.32555888,247 ST,394 AVE,On 247 ST at its intersection with 394 AVE,4,SD
44.42700997,-97.02763608,204 ST,459 AVE,On 204 ST at its intersection with 459 AVE,4,SD
43.98944252,-97.09722047,12TH ST SE,INDUSTRY AVE S,On 12TH ST SE at its intersection with INDUSTRY AVE S,4,SD
43.01113499,-96.7858244,302 ST,471 AVE,On 302 ST at its intersection with 471 AVE,4,SD
44.22462296,-97.31105759,CLARENCE ST,EPTON AVE,On CLARENCE ST at its intersection with EPTON AVE,4,SD
