osm_id,latitude,longitude,traffic_sign,stop_tag,all_tags
6325967793,40.1305134,-111.5789591,2_way_stop,,"{""traffic_sign"": ""2_way_stop""}"
6336795046,40.1340384,-111.5788224,2_Way_Stop_Sign,,"{""traffic_sign"": ""2_Way_Stop_Sign""}"
33415187,45.707537,-121.502839,"US:R1-1,US:R1-4",all,"{""direction"": ""both"", ""highway"": ""stop"", ""stop"": ""all"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
37835582,45.903652,-123.961931,"US:R1-1,US:R1-4",all,"{""highway"": ""stop"", ""stop"": ""all"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
37845642,46.1727499,-123.9273188,"US:R1-1,US:R1-4",all,"{""highway"": ""stop"", ""stop"": ""all"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
37846692,46.1992621,-123.9550985,"US:R1-1,US:R1-4",all,"{""highway"": ""stop"", ""stop"": ""all"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
37856675,46.1947288,-123.9388593,"US:R1-1,US:R1-4",all,"{""highway"": ""stop"", ""stop"": ""all"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
37856678,46.1967747,-123.9431531,"US:R1-1,US:R1-4",all,"{""highway"": ""stop"", ""stop"": ""all"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
37866804,45.9054364,-123.9619735,"US:R1-1,US:R1-4",all,"{""highway"": ""stop"", ""stop"": ""all"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
37878897,46.1724822,-123.92644,"US:R1-1,US:R1-4",all,"{""highway"": ""stop"", ""stop"": ""all"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
38741325,45.4859949,-122.8021721,"US:R1-1,US:R1-4",all,"{""highway"": ""stop"", ""stop"": ""all"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
38771219,45.4842831,-122.7994251,"US:R1-1,US:R1-4",all,"{""highway"": ""stop"", ""stop"": ""all"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
40389580,45.568581,-122.745063,"US:R1-1,US:R1-4",all,"{""highway"": ""stop"", ""stop"": ""all"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
40390514,45.5282966,-122.7026126,"US:R1-1,US:R1-4",all,"{""highway"": ""stop"", ""stop"": ""all"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
40394681,45.6029645,-122.6782454,"US:R1-1,US:R1-4",all,"{""highway"": ""stop"", ""stop"": ""all"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
40453729,45.5412505,-122.7110281,"US:R1-1,US:R1-4",all,"{""highway"": ""stop"", ""stop"": ""all"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
40468483,45.4931647,-122.6720085,"US:R1-1,US:R1-4",all,"{""highway"": ""stop"", ""stop"": ""all"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
40477006,45.5360688,-122.7068728,"US:R1-1,US:R1-4",all,"{""highway"": ""stop"", ""stop"": ""all"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
40548300,45.5995795,-122.7492323,"US:R1-1,US:R1-4",all,"{""highway"": ""stop"", ""stop"": ""all"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
40562882,45.5320648,-122.754813,"US:R1-1,US:R1-4",all,"{""direction"": ""both"", ""highway"": ""stop"", ""stop"": ""all"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
40572498,45.5871978,-122.6668876,"US:R1-1,US:R1-4",all,"{""highway"": ""stop"", ""stop"": ""all"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
40588137,45.5411912,-122.7137772,"US:R1-1,US:R1-4",all,"{""highway"": ""stop"", ""stop"": ""all"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
40598961,45.4939476,-122.6709416,"US:R1-1,US:R1-4",all,"{""highway"": ""stop"", ""stop"": ""all"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
40650497,45.535386,-122.7048352,"US:R1-1,US:R1-4",all,"{""highway"": ""stop"", ""stop"": ""all"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
40677816,45.5283327,-122.7005966,"US:R1-1,US:R1-4",all,"{""highway"": ""stop"", ""stop"": ""all"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
50569815,45.7259301,-121.8204903,"US:R1-1,US:R1-4",all,"{""highway"": ""stop"", ""stop"": ""all"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
57881690,37.8847954,-122.1909606,"US:R1-1,US:R1-4",all,"{""highway"": ""stop"", ""stop"": ""all"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
89936621,36.5649247,-121.9195268,"US:R1-1,US:R1-4",all,"{""highway"": ""stop"", ""stop"": ""all"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
110385227,38.0251034,-122.5482816,"US:R1-1,US:R1-4",,"{""source"": ""USGS Large Scale Imagery"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
121880488,39.8065778,-101.0408702,"US:R1-1,US:R1-4;US:R3-4",all,"{""highway"": ""stop"", ""source"": ""Mapillary"", ""stop"": ""all"", ""traffic_sign"": ""US:R1-1,US:R1-4;US:R3-4""}"
121880626,39.8065426,-101.0421666,"US:R1-1,US:R1-4;US:R3-4",all,"{""highway"": ""stop"", ""source"": ""Mapillary"", ""stop"": ""all"", ""traffic_sign"": ""US:R1-1,US:R1-4;US:R3-4""}"
121880627,39.8075616,-101.0421865,"US:R1-1,US:R1-4;US:R3-4",all,"{""highway"": ""stop"", ""source"": ""Mapillary"", ""stop"": ""all"", ""traffic_sign"": ""US:R1-1,US:R1-4;US:R3-4""}"
122796010,34.1052932,-118.3453761,"US:R1-1,US:R1-4",all,"{""highway"": ""stop"", ""stop"": ""all"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
122865643,34.0998112,-118.3489649,"US:R1-1,US:R1-4",all,"{""highway"": ""stop"", ""stop"": ""all"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
122865647,34.103443,-118.3489396,"US:R1-1,US:R1-4",all,"{""highway"": ""stop"", ""stop"": ""all"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
122916289,34.1057528,-118.3441538,"US:R1-1,US:R1-4",all,"{""highway"": ""stop"", ""stop"": ""all"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
123063567,34.0998041,-118.347873,"US:R1-1,US:R1-4",all,"{""highway"": ""stop"", ""stop"": ""all"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
123226131,34.1034733,-118.3518895,"US:R1-1,US:R1-4",all,"{""highway"": ""stop"", ""stop"": ""all"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
123226143,34.0998245,-118.3509902,"US:R1-1,US:R1-4",all,"{""highway"": ""stop"", ""stop"": ""all"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
125155712,30.3468212,-89.1490942,"US:R1-1,US:R1-4",all,"{""highway"": ""stop"", ""stop"": ""all"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
129896632,46.7336931,-116.9971458,"US:R1-1,US:R1-4",all,"{""highway"": ""stop"", ""stop"": ""all"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
140293936,39.532828,-119.760292,"US:R1-1,US:R1-4",all,"{""highway"": ""stop"", ""source"": ""Bing"", ""stop"": ""all"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
140345874,39.554186,-119.72433,"US:R1-1,US:R1-4",all,"{""highway"": ""stop"", ""source"": ""Bing"", ""stop"": ""all"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
213609856,40.8035177,-72.8654228,"US:R1-1,US:R1-4",all,"{""highway"": ""stop"", ""stop"": ""all"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
889381582,39.5551078,-119.7039225,"US:R1-1,US:R1-4",all,"{""highway"": ""stop"", ""source"": ""Bing"", ""stop"": ""all"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
889381820,39.5551079,-119.7047277,"US:R1-1,US:R1-4",all,"{""highway"": ""stop"", ""source"": ""Bing"", ""stop"": ""all"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
2433504967,38.0251563,-122.5484162,"US:R1-1,US:R1-4",,"{""traffic_sign"": ""US:R1-1,US:R1-4""}"
5104340794,46.1899584,-123.8452021,"US:R1-1,US:R1-4",all,"{""highway"": ""stop"", ""stop"": ""all"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
6057566886,34.1045417,-118.3461301,"US:R1-1,US:R1-4",,"{""direction"": ""forward"", ""highway"": ""stop"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
6057566887,34.1046079,-118.3462313,"US:R1-1,US:R1-4",,"{""direction"": ""backward"", ""highway"": ""stop"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
6057566888,34.1048203,-118.34621,"US:R1-1,US:R1-4",,"{""direction"": ""backward"", ""highway"": ""stop"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
6057566889,34.1047764,-118.3461128,"US:R1-1,US:R1-4",,"{""direction"": ""forward"", ""highway"": ""stop"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
6215789999,40.8027772,-72.8659855,"US:R1-1,US:R1-4",all,"{""highway"": ""stop"", ""stop"": ""all"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
6215790000,40.8025443,-72.8668488,"US:R1-1,US:R1-4",all,"{""highway"": ""stop"", ""stop"": ""all"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
6388623938,36.5648883,-121.9193539,"US:R1-1,US:R1-4",,"{""direction"": ""forward"", ""highway"": ""stop"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
6401686428,34.103452,-118.3503471,"US:R1-1,US:R1-4",,"{""direction"": ""forward"", ""highway"": ""stop"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
6401686429,34.1035542,-118.3502643,"US:R1-1,US:R1-4",,"{""direction"": ""backward"", ""highway"": ""stop"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
6401686430,34.103452,-118.3498429,"US:R1-1,US:R1-4",,"{""direction"": ""backward"", ""highway"": ""stop"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
6401686434,34.1033076,-118.3499809,"US:R1-1,US:R1-4",,"{""direction"": ""forward"", ""highway"": ""stop"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
6401686435,34.0998199,-118.3502955,"US:R1-1,US:R1-4",,"{""direction"": ""backward"", ""highway"": ""stop"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
6401686436,34.0999467,-118.3501703,"US:R1-1,US:R1-4",,"{""direction"": ""backward"", ""highway"": ""stop"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
6401686437,34.0997363,-118.3500355,"US:R1-1,US:R1-4",,"{""direction"": ""forward"", ""highway"": ""stop"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
6401686438,34.0998174,-118.3499133,"US:R1-1,US:R1-4",,"{""direction"": ""forward"", ""highway"": ""stop"", ""traffic_sign"": ""US:R1-1,US:R1-4""}"
7725267279,39.2289092,-84.3802562,US:R1-4,,"{""direction"": ""-80"", ""layer"": ""1"", ""traffic_sign"": ""US:R1-4""}"
7725267284,39.2290183,-84.380163,US:R1-4,,"{""direction"": ""-80"", ""layer"": ""1"", ""traffic_sign"": ""US:R1-4""}"
7725294986,39.2290552,-84.3800886,US:R1-4,,"{""direction"": ""30"", ""layer"": ""1"", ""traffic_sign"": ""US:R1-4""}"
7725294988,39.2289705,-84.3799069,US:R1-4,,"{""direction"": ""100"", ""layer"": ""1"", ""traffic_sign"": ""US:R1-4""}"
7725294990,39.2288526,-84.3800772,US:R1-4,,"{""direction"": ""-155"", ""layer"": ""1"", ""traffic_sign"": ""US:R1-4""}"
9024135605,44.052313,-123.012438,"stop,us:d3-1,us:r1-4p",all,"{""direction"": ""forward"", ""highway"": ""stop"", ""stop"": ""all"", ""traffic_sign"": ""stop,us:d3-1,us:r1-4p"", ""traffic_sign:direction"": ""backward""}"
9024135606,44.0524125,-123.012573,"stop,us:r1-4p",all,"{""direction"": ""forward"", ""highway"": ""stop"", ""stop"": ""all"", ""traffic_sign"": ""stop,us:r1-4p"", ""traffic_sign:direction"": ""backward""}"
9024135607,44.0522166,-123.012574,"stop,us:r1-4p",all,"{""direction"": ""forward"", ""highway"": ""stop"", ""stop"": ""all"", ""traffic_sign"": ""stop,us:r1-4p"", ""traffic_sign:direction"": ""forward""}"
9024135608,44.0523142,-123.012731,"stop,us:d3-1,us:r1-4p",all,"{""direction"": ""forward"", ""highway"": ""stop"", ""stop"": ""all"", ""traffic_sign"": ""stop,us:d3-1,us:r1-4p"", ""traffic_sign:direction"": ""forward""}"
9914287716,39.3940017,-77.6295691,US:R1-1;US:R1-4,,"{""direction"": ""backward"", ""highway"": ""stop"", ""mapillary:map_feature"": ""2995092530710027"", ""source:feature"": ""Mapillary 2017-04-01"", ""survey:date"": ""2017-04-01"", ""traffic_sign"": ""US:R1-1;US:R1-4""}"
9914295562,39.3939769,-77.6294366,US:R1-1;US:R1-4,,"{""direction"": ""backward"", ""highway"": ""stop"", ""mapillary:map_feature"": ""133953325688761"", ""source:feature"": ""Mapillary 2021-12-03"", ""survey:date"": ""2021-12-03"", ""traffic_sign"": ""US:R1-1;US:R1-4""}"
9914295563,39.3938979,-77.6294946,US:R1-1;US:R1-4,,"{""direction"": ""forward"", ""highway"": ""stop"", ""mapillary:map_feature"": ""816682495914659"", ""source:feature"": ""Mapillary 2017-04-01"", ""survey:date"": ""2017-04-01"", ""traffic_sign"": ""US:R1-1;US:R1-4""}"
9914295564,39.3939058,-77.6296182,US:R1-1;US:R1-4,,"{""direction"": ""forward"", ""highway"": ""stop"", ""mapillary:map_feature"": ""1374361473020787"", ""source:feature"": ""Mapillary 2021-12-03"", ""survey:date"": ""2021-12-03"", ""traffic_sign"": ""US:R1-1;US:R1-4""}"
